"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
26,0.71822,0.30822,42,41,2830,41,41,2748,0.0144876,0,0,0,1
27,0.802988,0.442988,40,36,2830,40,36,2754,0.0141343,0,0,0,1
28,0.719483,0.279483,37,44,2830,36,44,2750,0.0127208,0,0,0,1
29,0.743489,0.323489,43,42,2830,43,42,2745,0.0151943,0,0,0,1
30,0.787343,0.347343,42,44,2830,40,44,2746,0.0141343,0,0,0,1
31,0.758254,0.358254,40,40,2830,39,40,2751,0.0137809,0,0,0,1
32,0.83025,0.32025,35,51,2830,27,51,2752,0.00954064,0,0,0,1
33,0.824962,0.334962,37,49,2830,35,49,2746,0.0123675,0,0,0,1
34,0.743899,0.303899,39,44,2830,36,44,2750,0.0127208,0,0,0,1
35,0.773971,0.323971,38,45,2830,33,45,2752,0.0116608,0,0,0,1
36,0.802262,0.299938,40,50,2830,34,50,2746,0.0120141,0.00232438,0.00555556,1,0.999579
37,0.773408,0.353408,37,42,2830,35,42,2753,0.0123675,0,0,0,1
38,0.848141,0.450005,40,39,2830,42,39,2749,0.014841,0.00813533,0.0194444,1,0.998525
39,0.706739,0.276739,41,43,2830,41,43,2746,0.0144876,0,0,0,1
40,0.729882,0.339882,37,39,2830,35,39,2756,0.0123675,0,0,0,1
41,0.764107,0.324107,38,44,2830,36,44,2750,0.0127208,0,0,0,1
42,0.742856,0.292856,42,45,2830,40,45,2745,0.0141343,0,0,0,1
43,0.741047,0.311047,39,43,2830,36,43,2751,0.0127208,0,0,0,1
44,0.766848,0.326848,41,44,2830,38,44,2748,0.0134276,0,0,0,1
45,0.747803,0.307803,40,44,2830,37,44,2749,0.0130742,0,0,0,1
46,0.72421,0.26421,39,46,2830,37,46,2747,0.0130742,0,0,0,1
47,0.853981,0.333981,41,52,2830,34,52,2744,0.0120141,0,0,0,1
48,0.720215,0.280215,39,44,2830,35,44,2751,0.0123675,0,0,0,1
49,0.761754,0.301754,35,46,2830,30,46,2754,0.0106007,0,0,0,1
50,0.712166,0.292166,38,42,2830,37,42,2751,0.0130742,0,0,0,1
51,0.850393,0.370393,34,48,2830,28,48,2754,0.00989399,0,0,0,1
52,0.711772,0.281772,37,43,2830,36,43,2751,0.0127208,0,0,0,1
53,0.7215,0.3015,40,42,2830,38,42,2750,0.0134276,0,0,0,1
54,0.758245,0.348245,39,41,2830,38,41,2751,0.0134276,0,0,0,1
55,0.917183,0.387183,37,53,2830,29,53,2748,0.0102473,0,0,0,1
56,0.727073,0.257073,38,47,2830,33,47,2750,0.0116608,0,0,0,1
57,0.756271,0.326271,40,43,2830,39,43,2748,0.0137809,0,0,0,1
58,0.805285,0.305285,43,50,2830,40,50,2740,0.0141343,0,0,0,1
59,0.726444,0.276444,40,45,2830,38,45,2747,0.0134276,0,0,0,1
