,effort,latitude,longitude,geometry,labels
247,5.532273878079253e-09,9362000.0,529000.0,POINT (529000 9362000),248
248,1.0088003159759125e-07,9362000.0,529500.0,POINT (529500 9362000),249
249,4.8772455619699466e-08,9362000.0,530000.0,POINT (530000 9362000),250
250,4.8772455619699466e-08,9362000.0,530500.0,POINT (530500 9362000),251
251,4.3098414595904877e-08,9362000.0,531000.0,POINT (531000 9362000),252
252,2.1849633226396878e-08,9362000.0,532000.0,POINT (532000 9362000),253
253,1.583050536870212e-08,9361500.0,514000.0,POINT (514000 9361500),254
254,1.689605647939218e-08,9361500.0,514500.0,POINT (514500 9361500),255
255,1.689605647939218e-08,9361500.0,515000.0,POINT (515000 9361500),256
256,1.3957048498036046e-08,9361500.0,515500.0,POINT (515500 9361500),257
257,1.3957048498036046e-08,9361500.0,516000.0,POINT (516000 9361500),258
258,2.6487432540677465e-08,9361500.0,516500.0,POINT (516500 9361500),259
259,3.0296671268343784e-08,9361500.0,517000.0,POINT (517000 9361500),260
260,2.7554723138207837e-08,9361500.0,517500.0,POINT (517500 9361500),261
261,1.5024339095566414e-08,9361500.0,518000.0,POINT (518000 9361500),262
262,1.3958787984876355e-08,9361500.0,518500.0,POINT (518500 9361500),263
263,1.5154483991808113e-08,9361500.0,519000.0,POINT (519000 9361500),264
264,7.321686722042464e-09,9361500.0,519500.0,POINT (519500 9361500),265
265,2.6705005820096504e-08,9361500.0,520000.0,POINT (520000 9361500),266
266,2.6705005820096504e-08,9361500.0,520500.0,POINT (520500 9361500),267
267,2.667198718065367e-08,9361500.0,521000.0,POINT (521000 9361500),268
268,1.4332328020543768e-07,9361500.0,521500.0,POINT (521500 9361500),269
269,1.4332328020543768e-07,9361500.0,522000.0,POINT (522000 9361500),270
270,2.0357760735316868e-08,9361500.0,522500.0,POINT (522500 9361500),271
271,8.014323146459917e-08,9361500.0,523000.0,POINT (523000 9361500),272
272,3.432727196852853e-08,9361500.0,523500.0,POINT (523500 9361500),273
273,0.0,9361500.0,524000.0,POINT (524000 9361500),274
274,1.6315742737051836e-08,9361500.0,525000.0,POINT (525000 9361500),275
275,4.380473644718718e-08,9361500.0,525500.0,POINT (525500 9361500),276
276,2.4670958599060763e-08,9361500.0,526000.0,POINT (526000 9361500),277
277,1.0683611720731489e-07,9361500.0,526500.0,POINT (526500 9361500),278
278,5.543057798206317e-08,9361500.0,527000.0,POINT (527000 9361500),279
279,2.9370554550674157e-08,9361500.0,527500.0,POINT (527500 9361500),280
280,3.657013251001843e-08,9361500.0,528000.0,POINT (528000 9361500),281
281,4.4715208327872386e-08,9361500.0,528500.0,POINT (528500 9361500),282
282,5.532273878079253e-09,9361500.0,529000.0,POINT (529000 9361500),283
283,1.706922114630619e-07,9361500.0,529500.0,POINT (529500 9361500),284
284,4.9222980453334763e-08,9361500.0,530000.0,POINT (530000 9361500),285
285,4.9222980453334763e-08,9361500.0,530500.0,POINT (530500 9361500),286
286,4.707514723696346e-08,9361500.0,531000.0,POINT (531000 9361500),287
287,4.232690362051406e-08,9361500.0,531500.0,POINT (531500 9361500),288
288,3.294629060547462e-08,9361500.0,532000.0,POINT (532000 9361500),289
289,4.176236390502439e-08,9361000.0,514000.0,POINT (514000 9361000),290
290,1.583050536870212e-08,9361000.0,514500.0,POINT (514500 9361000),291
291,1.583050536870212e-08,9361000.0,515000.0,POINT (515000 9361000),292
292,1.689605647939218e-08,9361000.0,515500.0,POINT (515500 9361000),293
293,1.3957048498036046e-08,9361000.0,516000.0,POINT (516000 9361000),294
294,2.6487432540677465e-08,9361000.0,516500.0,POINT (516500 9361000),295
295,3.0296671268343784e-08,9361000.0,517000.0,POINT (517000 9361000),296
296,2.7554723138207837e-08,9361000.0,517500.0,POINT (517500 9361000),297
297,1.4491563540221386e-08,9361000.0,518000.0,POINT (518000 9361000),298
298,1.5039684790723725e-08,9361000.0,518500.0,POINT (518500 9361000),299
299,2.0580408363159117e-08,9361000.0,519000.0,POINT (519000 9361000),300
300,1.4408798907130215e-08,9361000.0,519500.0,POINT (519500 9361000),301
301,7.545363996700943e-09,9361000.0,520000.0,POINT (520000 9361000),302
302,7.545363996700943e-09,9361000.0,520500.0,POINT (520500 9361000),303
303,3.803164970629186e-08,9361000.0,521000.0,POINT (521000 9361000),304
304,1.2416363838204212e-07,9361000.0,521500.0,POINT (521500 9361000),305
305,1.2416363838204212e-07,9361000.0,522000.0,POINT (522000 9361000),306
306,1.2770576500380776e-09,9361000.0,522500.0,POINT (522500 9361000),307
307,8.014323146459917e-08,9361000.0,523000.0,POINT (523000 9361000),308
308,3.194896153203724e-08,9361000.0,523500.0,POINT (523500 9361000),309
309,1.578912336525039e-08,9361000.0,525000.0,POINT (525000 9361000),310
310,4.380473644718718e-08,9361000.0,525500.0,POINT (525500 9361000),311
311,1.1173250973083512e-08,9361000.0,526000.0,POINT (526000 9361000),312
312,1.0683611720731489e-07,9361000.0,526500.0,POINT (526500 9361000),313
313,5.551113394344552e-08,9361000.0,527000.0,POINT (527000 9361000),314
314,3.511841251980541e-08,9361000.0,527500.0,POINT (527500 9361000),315
315,1.4473929904283385e-08,9361000.0,528000.0,POINT (528000 9361000),316
316,4.4715208327872386e-08,9361000.0,528500.0,POINT (528500 9361000),317
317,1.8952589069177663e-08,9361000.0,529000.0,POINT (529000 9361000),318
318,6.62917701037408e-07,9361000.0,529500.0,POINT (529500 9361000),319
319,4.52135815249625e-08,9361000.0,530000.0,POINT (530000 9361000),320
320,4.243374692239075e-08,9361000.0,530500.0,POINT (530500 9361000),321
321,4.8772455619699466e-08,9361000.0,531000.0,POINT (531000 9361000),322
322,4.9029625944829736e-08,9361000.0,531500.0,POINT (531500 9361000),323
323,4.980113692022056e-08,9361000.0,532000.0,POINT (532000 9361000),324
324,2.8796434636863253e-08,9360500.0,514000.0,POINT (514000 9360500),325
325,1.583050536870212e-08,9360500.0,514500.0,POINT (514500 9360500),326
326,1.583050536870212e-08,9360500.0,515000.0,POINT (515000 9360500),327
327,1.583050536870212e-08,9360500.0,515500.0,POINT (515500 9360500),328
328,1.3626249382685016e-08,9360500.0,516000.0,POINT (516000 9360500),329
329,2.5954656985332433e-08,9360500.0,516500.0,POINT (516500 9360500),330
330,2.8925697203275807e-08,9360500.0,517000.0,POINT (517000 9360500),331
331,2.7554723138207837e-08,9360500.0,517500.0,POINT (517500 9360500),332
332,1.492488558963934e-08,9360500.0,518000.0,POINT (518000 9360500),333
333,1.5154483991808113e-08,9360500.0,518500.0,POINT (518500 9360500),334
334,2.0580408363159117e-08,9360500.0,519000.0,POINT (519000 9360500),335
335,9.684057450405047e-09,9360500.0,519500.0,POINT (519500 9360500),336
336,7.545363996700943e-09,9360500.0,520000.0,POINT (520000 9360500),337
337,7.545363996700943e-09,9360500.0,520500.0,POINT (520500 9360500),338
